subset,n_points_used,n_params_assumed,dof,chi2,chi2_reduced,rmse,mae,bias_mean_residual
all,18,0,18,33.654155304577756,1.8696752946987643,0.04443410380073442,0.027388556411710296,0.007239946317727756
tpded,11,0,11,33.480148121053034,3.0436498291866396,0.056437655612984666,0.03969514597690955,0.011628322335567017
isothermal,7,0,7,0.1740071835247205,0.024858169074960072,0.008466014143549687,0.008049629952111467,0.00034392686112320284
