surface_temperature_k,h_gas_density_cm3,uv_flux_factor,gas_temperature_k,gas_flux_h_cm2_s,arrival_rate_per_site_s,sticking_probability,ct02_epsilon,ct02_h2_release_rate_cm2_s,h2_release_rate_cm2_s_mean,ratio_kmc_over_ct02,log10_ratio_kmc_over_ct02
30.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9888627860735129,89594.17581823829,30880.201446441537,0.3446675095163428,-0.46259965393703123
30.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9888627860735129,89594.17581823829,30877.36326726466,0.34463583135031295,-0.4626395714940707
30.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9888627860735129,89594.17581823829,30487.37022691231,0.3402829475072433,-0.4681598140222223
30.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.9888627860735129,89594.17581823829,23681.085926765485,0.26431501501624205,-0.5778781650806327
30.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9888627860735129,895941.7581823829,308801.7470369335,0.3446672110287688,-0.4626000300431592
30.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9888627860735129,895941.7581823829,308086.1970054456,0.3438685541685957,-0.46360753739541843
30.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9888627860735129,895941.7581823829,308851.8375244133,0.34472311922483434,-0.46252958919120024
30.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.9888627860735129,895941.7581823829,304549.42584099376,0.33992100832406785,-0.46862199364798085
30.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9888627860735129,8959417.58182383,3082423.8768300745,0.3440428854531188,-0.46338741860642463
30.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9888627860735129,8959417.58182383,3097145.926078883,0.345686078117637,-0.46131811053117183
30.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9888627860735129,8959417.58182383,3081613.220241867,0.34395240450602554,-0.4635016501334133
30.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.9888627860735129,8959417.58182383,3090967.754666672,0.34499650523460224,-0.4621853042456102
30.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9888627860735129,89594175.81823829,30918983.70227767,0.3451003753302414,-0.4620545683707441
30.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9888627860735129,89594175.81823829,30911262.195516855,0.34501419219735024,-0.46216303980723744
30.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9888627860735129,89594175.81823829,30797672.14855683,0.343746363726106,-0.46376188726215967
30.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.9888627860735129,89594175.81823829,30718796.495334268,0.3428659978708234,-0.4648755818703899
40.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.943725657743477,85504.6055881872,30868.919833557964,0.3610205511295011,-0.44246807513561837
40.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.943725657743477,85504.6055881872,30864.12407948642,0.36096446345985395,-0.4425355517867603
40.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.943725657743477,85504.6055881872,30466.744746811728,0.35631700230918123,-0.4481634540091204
40.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.943725657743477,85504.6055881872,23670.48911557761,0.2768329138851414,-0.557782275960569
40.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.943725657743477,855046.0558818721,308688.93069034384,0.3610202381109988,-0.4424684516855593
40.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.943725657743477,855046.0558818721,308324.7710307995,0.36059434332201135,-0.4429810903792997
40.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.943725657743477,855046.0558818721,308719.44605813775,0.36105592667722747,-0.4424255217339875
40.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.943725657743477,855046.0558818721,304507.30597956036,0.35612971241122154,-0.44839179100441623
40.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.943725657743477,8550460.55881872,3086165.40285705,0.3609355755315496,-0.44257030969557115
40.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.943725657743477,8550460.55881872,3099421.1263510063,0.3624858690394572,-0.44070891907314463
40.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.943725657743477,8550460.55881872,3081570.9117874447,0.36039823709954355,-0.4432173420542757
40.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.943725657743477,8550460.55881872,3089643.8811786533,0.3613423931874729,-0.44208108341581914
40.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.943725657743477,85504605.5881872,30909252.453581143,0.36149225227057685,-0.4419010063423237
40.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.943725657743477,85504605.5881872,30901099.73774483,0.36139690400506264,-0.4420155722490122
40.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.943725657743477,85504605.5881872,30819033.86723869,0.36043712096248137,-0.4431704879510842
40.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.943725657743477,85504605.5881872,30727457.275474917,0.35936610740556457,-0.44446288454709654
50.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.8605177402118805,77965.698372964,30868.927654898405,0.3959295985169134,-0.4023820304729153
50.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.8605177402118805,77965.698372964,30864.13441585158,0.39586811969806285,-0.4024494717176175
50.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.8605177402118805,77965.698372964,30466.75100222202,0.39077121911328777,-0.4080774302157291
50.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.8605177402118805,77965.698372964,23670.48988311595,0.3036013320868824,-0.5176963272537862
50.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.8605177402118805,779656.98372964,308688.93851210864,0.3959291649456346,-0.40238250605675063
50.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.8605177402118805,779656.98372964,308324.78107336734,0.3954620910319255,-0.4028951416093555
50.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.8605177402118805,779656.98372964,308719.4562767996,0.3959683074984853,-0.40233957273440524
50.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.8605177402118805,779656.98372964,304507.3120379046,0.3905657467226612,-0.4083058477395159
50.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.8605177402118805,7796569.8372964,3086165.410537195,0.3958363068556028,-0.4024843739904307
50.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.8605177402118805,7796569.8372964,3099421.1370349494,0.3975365066581292,-0.4006229829517308
50.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.8605177402118805,7796569.8372964,3081570.9219927033,0.3952470107112249,-0.4031314059916525
50.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.8605177402118805,7796569.8372964,3089643.889325387,0.3962824618777193,-0.40199514764630967
50.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.8605177402118805,77965698.372964,30909252.46105204,0.3964468106627052,-0.4018150716129856
50.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.8605177402118805,77965698.372964,30901099.744575113,0.39634224267130563,-0.4019296375286498
50.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.8605177402118805,77965698.372964,30819033.8797534,0.3952896533078507,-0.4030845531503626
50.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.8605177402118805,77965698.372964,30727457.286168747,0.3941150778792234,-0.4043769497715852
60.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.7600457122620485,68862.60675729568,30749.9222297222,0.4465402005198472,-0.3501394369366125
60.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.7600457122620485,68862.60675729568,30930.00051415328,0.4491552378080196,-0.3476035314435791
60.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.7600457122620485,68862.60675729568,30406.56215700365,0.44155403910529734,-0.35501613818137934
60.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.7600457122620485,68862.60675729568,23563.67595267928,0.3421839088335531,-0.4657404169723145
60.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.7600457122620485,688626.0675729569,309051.862577272,0.44879489338316303,-0.34795209334755217
60.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.7600457122620485,688626.0675729569,307882.7027280116,0.447097078118369,-0.34959816833643154
60.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.7600457122620485,688626.0675729569,307470.72938718006,0.4464988240582468,-0.35017968057316595
60.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.7600457122620485,688626.0675729569,304194.0972480985,0.4417406072358283,-0.35483267615966513
60.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.7600457122620485,6886260.675729569,3086476.5643277233,0.44820791858866493,-0.348520474956284
60.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.7600457122620485,6886260.675729569,3095270.6889429567,0.4494849722799706,-0.3472848235413938
60.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.7600457122620485,6886260.675729569,3077125.6395866643,0.44685000822462423,-0.34983822973574513
60.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.7600457122620485,6886260.675729569,3082958.9558348903,0.44769710311732636,-0.34901571576672297
60.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.7600457122620485,68862606.75729568,30902479.07153328,0.44875558052061837,-0.3479901376910811
60.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.7600457122620485,68862606.75729568,30901148.21742969,0.4487362542974871,-0.3480088415315789
60.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.7600457122620485,68862606.75729568,30817760.598123897,0.4475253268691995,-0.3491823815585982
60.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.7600457122620485,68862606.75729568,30735807.96723624,0.446335237868118,-0.350338824547423
70.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.6630106365107855,60070.91415865397,30551.67855266588,0.5085935345011646,-0.29362916509683135
70.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.6630106365107855,60070.91415865397,30469.238060534663,0.5072211483258273,-0.29480264706297193
70.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.6630106365107855,60070.91415865397,29922.14276102588,0.4981136575015018,-0.30267155042536903
70.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.6630106365107855,60070.91415865397,23101.23756896946,0.3845661064513938,-0.4150289947459351
70.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.6630106365107855,600709.1415865397,305995.4061378733,0.5093902938279005,-0.2929493345532901
70.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.6630106365107855,600709.1415865397,306712.9953734787,0.5105848640215721,-0.29193206373729486
70.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.6630106365107855,600709.1415865397,306680.68283111625,0.510531073359627,-0.29197781953607754
70.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.6630106365107855,600709.1415865397,302285.3636920379,0.5032141893057739,-0.2982471214373542
70.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.6630106365107855,6007091.415865397,3064287.26657024,0.5101116421296863,-0.29233476457902124
70.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.6630106365107855,6007091.415865397,3055969.4553226335,0.508726976794706,-0.2935152319726558
70.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.6630106365107855,6007091.415865397,3082512.403076087,0.5131455790625774,-0.2897594083494309
70.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.6630106365107855,6007091.415865397,3084510.6530512264,0.5134782275669537,-0.28947796657107555
70.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.6630106365107855,60070914.158653975,30821384.35758219,0.513083324754797,-0.2898120997173632
70.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.6630106365107855,60070914.158653975,30784099.47499252,0.5124626436296322,-0.2903377873586837
70.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.6630106365107855,60070914.158653975,30873722.132912196,0.513954591258113,-0.2890752499486683
70.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.6630106365107855,60070914.158653975,30718804.147513337,0.5113756728652664,-0.29125993605092987
80.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.5792259881269947,52479.75325758172,29290.321012832555,0.558126119020977,-0.2532676530231038
80.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.5792259881269947,52479.75325758172,29294.166281710895,0.5581993904950151,-0.25321064205877464
80.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.5792259881269947,52479.75325758172,28807.772129474208,0.5489311656645864,-0.2604821113719298
80.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.5792259881269947,52479.75325758172,21171.03982779805,0.4034134787922137,-0.3942495952970574
80.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.5792259881269947,524797.5325758172,299670.7417972089,0.5710216287152906,-0.24334744157235802
80.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.5792259881269947,524797.5325758172,298865.2170880369,0.5694867039887616,-0.24451641109624161
80.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.5792259881269947,524797.5325758172,300886.4677428948,0.5733381905705243,-0.24158912851727563
80.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.5792259881269947,524797.5325758172,296114.70277990575,0.564245607875693,-0.24853181281338033
80.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.5792259881269947,5247975.325758171,3044764.6697587795,0.5801789224911998,-0.23643805287227004
80.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.5792259881269947,5247975.325758171,3033347.871886263,0.5780034553512382,-0.2380695653242974
80.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.5792259881269947,5247975.325758171,3038177.8422268876,0.5789238046365937,-0.23737859240976256
80.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.5792259881269947,5247975.325758171,3015019.035232774,0.5745109014584012,-0.24070172607350357
80.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.5792259881269947,52479753.25758171,30395409.84701138,0.5791835509939288,-0.23718378074393862
80.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.5792259881269947,52479753.25758171,30607994.44439944,0.5832343436176032,-0.23415691060835214
80.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.5792259881269947,52479753.25758171,30460695.412679534,0.5804275653349971,-0.23625197047860677
80.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.5792259881269947,52479753.25758171,30376750.17697703,0.5788279915852791,-0.23745047496647465
100.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.455021123613511,41226.38967122641,24205.659035072633,0.5871399176136628,-0.23125839243782984
100.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.455021123613511,41226.38967122641,24008.78348511087,0.5823644436628315,-0.23480514879190048
100.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.455021123613511,41226.38967122641,22625.317605218515,0.5488066693603697,-0.26058061951557826
100.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.455021123613511,41226.38967122641,9513.529134753457,0.23076309156882926,-0.6368336513645754
100.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.455021123613511,412263.8967122641,253564.21834847383,0.6150531743638146,-0.21108733571321958
100.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.455021123613511,412263.8967122641,255696.48111955225,0.6202252565861068,-0.20745055255751016
100.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.455021123613511,412263.8967122641,255168.58867792675,0.6189447844277749,-0.20834809231737952
100.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.455021123613511,412263.8967122641,247023.4957877891,0.5991877963551024,-0.2224370404848416
100.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.455021123613511,4122638.9671226414,2685464.364750537,0.6513945039006975,-0.18615591008749324
100.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.455021123613511,4122638.9671226414,2688355.4834318263,0.6520957825487541,-0.1856886085975194
100.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.455021123613511,4122638.9671226414,2682248.8243517876,0.650614532522075,-0.18667624028002255
100.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.455021123613511,4122638.9671226414,2687715.7425284185,0.6519406050256895,-0.18579196881498364
100.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.455021123613511,41226389.67122641,28032754.514449995,0.6799711237876161,-0.16750953000843474
100.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.455021123613511,41226389.67122641,28104108.149841405,0.6817018995349092,-0.1664054958557613
100.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.455021123613511,41226389.67122641,28152016.9226088,0.6828639894765572,-0.16566578900069978
100.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.455021123613511,41226389.67122641,28038420.557592712,0.6801085610744585,-0.16742175830483402
120.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.37431800617472366,33914.42546879042,21363.43669289095,0.6299218222803317,-0.2007133461956608
120.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.37431800617472366,33914.42546879042,21326.340051566774,0.628827991533934,-0.20146813443341333
120.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.37431800617472366,33914.42546879042,15399.56915675548,0.4540713558873895,-0.34287589376609384
120.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.37431800617472366,33914.42546879042,1898.7981250274715,0.05598791955873854,-1.2519056700464788
120.0,100.0,0.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.37431800617472366,339144.2546879042,218731.73834962928,0.6449519203883198,-0.1904726597652419
120.0,100.0,1.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.37431800617472366,339144.2546879042,218748.38898913615,0.6450010164271787,-0.1904396009796669
120.0,100.0,10.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.37431800617472366,339144.2546879042,215914.12968239983,0.636643925697912,-0.19610340022633055
120.0,100.0,100.0,100.0,3624129.740951857,9.060324352379644e-09,0.5,0.37431800617472366,339144.2546879042,165685.33985636945,0.4885394270023549,-0.3111003813032447
120.0,1000.0,0.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.37431800617472366,3391442.546879042,2296209.412651129,0.6770598000441447,-0.16937297137062626
120.0,1000.0,1.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.37431800617472366,3391442.546879042,2264489.1897549303,0.6677067821298683,-0.17541421246410854
120.0,1000.0,10.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.37431800617472366,3391442.546879042,2281448.2903003613,0.6727073387694132,-0.1721738344404696
120.0,1000.0,100.0,100.0,36241297.40951857,9.060324352379644e-08,0.5,0.37431800617472366,3391442.546879042,2278304.8938399837,0.6717804775836709,-0.17277262121611583
120.0,10000.0,0.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.37431800617472366,33914425.46879042,23480496.90302538,0.6923454128578175,-0.1596771808734476
120.0,10000.0,1.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.37431800617472366,33914425.46879042,23460230.636182178,0.6917478421614819,-0.16005218692329218
120.0,10000.0,10.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.37431800617472366,33914425.46879042,23582322.66063247,0.6953478448966792,-0.15779788702494865
120.0,10000.0,100.0,100.0,362412974.0951857,9.060324352379644e-07,0.5,0.37431800617472366,33914425.46879042,23610072.28183455,0.6961660696142885,-0.15728714758200985
150.0,10.0,0.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.3000478826305257,27185.311378773004,21290.96185369172,0.7831788849884668,-0.10613902990845468
150.0,10.0,1.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.3000478826305257,27185.311378773004,21093.484719099175,0.775914773430534,-0.11018597907884231
150.0,10.0,10.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.3000478826305257,27185.311378773004,15272.917977681269,0.561807726418273,-0.2504122923367427
150.0,10.0,100.0,100.0,362412.9740951857,9.060324352379644e-10,0.5,0.3000478826305257,27185.311378773004,1803.975683515123,0.06635847051300335,-1.1781036325243768
