scenario,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,sigma_H_cm2_per_H,h2_release_rate_cm2_s,k_eff_cm3_s,t_H2_Myr,t_ff_Myr,t_H2_over_t_ff
high_z_core_like,60.0,1000.0,0.0,1e-21,3086476.5643277233,1.2345906257310892e-17,1.2833439341589108,1.3752112250446755,0.9331976868624089
warm_diffuse_like,100.0,100.0,0.0,1e-21,253564.21834847383,1.0142568733938952e-17,15.62133254665291,4.348799734971567,3.5921020738277445
dense_hot_like,40.0,10000.0,0.0,1e-21,30909252.453581143,1.2363700981432457e-17,0.12814968536370075,0.4348799734971567,0.2946782863629351
