E_phys_mean_meV,enable_grain_cache,epsilon_ci95,epsilon_mean,epsilon_std,gas_temperature_k,grain_cache_dir,grain_radius_um,h2_formed_ER_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_LH_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_UV_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_on_surface_ci95,h2_on_surface_mean,h2_on_surface_std,h_gas_density_cm3,heterogeneity_E_bind_sigma_meV,impinging_h2_molecules_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h_atoms_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,initial_h_coverage,porosity_fraction,site_area_angstroms_sq,sticking_probability,surface_temperature_k,total_h2_desorbed_ER_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_beam_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_formed_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_released_beam_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_formed_ci95,total_h2_released_formed_mean,total_h2_released_formed_std,use_3d_lattice,uv_defect_creation_rate,uv_flux_factor,uv_pulse_duration,uv_pulse_enabled,uv_stimulated_diffusion_factor
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.5524302978744,183.8,13.798550648528272,28.804813918664514,2308.6,46.4738875307653,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,8.5524302978744,183.8,13.798550648528272,28.804813918664514,2308.6,46.4738875307653,0.0,0.0,0.0,0.0,0.0,0.0,30.66799834789787,2492.4,49.47996227430521,30.66799834789787,2492.4,49.47996227430521,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.1,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.472199347145803,185.8,13.669105473455257,30.35322260760242,2304.4,48.972100901091295,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,8.472199347145803,185.8,13.669105473455257,30.35322260760242,2304.4,48.972100901091295,0.0,0.0,0.0,0.0,0.0,0.0,31.571348924125633,2490.2,50.93743438986913,31.571348924125633,2490.2,50.93743438986913,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,10.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,10.489205117643566,190.8,16.923356641044943,32.596030296818526,2299.0,52.59066245806168,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,10.489205117643566,190.8,16.923356641044943,32.596030296818526,2299.0,52.59066245806168,0.0,0.0,0.0,0.0,0.0,0.0,36.31122987604676,2489.8,58.58479135217414,36.31122987604676,2489.8,58.58479135217414,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,1.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,10.00602982650406,187.2,16.143798258843,32.11875973805824,2298.6,51.82063081223325,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,10.00602982650406,187.2,16.143798258843,32.11875973805824,2298.6,51.82063081223325,0.0,0.0,0.0,0.0,0.0,0.0,34.58695080839336,2485.8,55.80282748710459,34.58695080839336,2485.8,55.80282748710459,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,1.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.92965904537607,181.7,14.407174138833287,38.767282792467036,2300.8,62.547404244922724,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,8.92965904537607,181.7,14.407174138833287,38.767282792467036,2300.8,62.547404244922724,0.0,0.0,0.0,0.0,0.0,0.0,35.373339489885126,2482.5,57.07159246653861,35.373339489885126,2482.5,57.07159246653861,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.087886690051432,189.5,13.049052754042256,24.731924488176993,2293.0,39.90265933772112,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,8.087886690051432,189.5,13.049052754042256,24.731924488176993,2293.0,39.90265933772112,0.0,0.0,0.0,0.0,0.0,0.0,27.415489052723462,2482.5,44.232341109192944,27.415489052723462,2482.5,44.232341109192944,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,13.181961344537804,182.9,21.26786830460971,28.469445110308857,2298.6,45.932801158020204,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,13.181961344537804,182.9,21.26786830460971,28.469445110308857,2298.6,45.932801158020204,0.0,0.0,0.0,0.0,0.0,0.0,36.14799518030779,2481.5,58.32142735640897,36.14799518030779,2481.5,58.32142735640897,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,10.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.346573055918084,192.3,13.466419139639328,31.790491073065645,2289.1,51.29099986027438,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,8.346573055918084,192.3,13.466419139639328,31.790491073065645,2289.1,51.29099986027438,0.0,0.0,0.0,0.0,0.0,0.0,29.50029706818409,2481.4,47.595984891351684,29.50029706818409,2481.4,47.595984891351684,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.1,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,4.3415954056851795,187.2,7.004760286167305,27.057861326342024,2292.7,43.655342042972116,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,4.3415954056851795,187.2,7.004760286167305,27.057861326342024,2292.7,43.655342042972116,0.0,0.0,0.0,0.0,0.0,0.0,25.251903831416573,2479.9,40.74159763408619,25.251903831416573,2479.9,40.74159763408619,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,100.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,9.990019997755537,187.7,16.117967889560052,24.613330769230632,2292.1,39.71131940503726,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,9.990019997755537,187.7,16.117967889560052,24.613330769230632,2292.1,39.71131940503726,0.0,0.0,0.0,0.0,0.0,0.0,31.006569511780707,2479.8,50.026215349776585,31.006569511780707,2479.8,50.026215349776585,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.1,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,7.812730352159579,192.0,12.605113600792691,35.35396690613374,2285.6,57.04033660489741,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,20.0,7.812730352159579,192.0,12.605113600792691,35.35396690613374,2285.6,57.04033660489741,0.0,0.0,0.0,0.0,0.0,0.0,36.30111902774715,2477.6,58.56847843906026,36.30111902774715,2477.6,58.56847843906026,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,1.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,7.282542291138597,185.5,11.74970448800971,22.662286635632242,2288.0,36.563491202138906,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,7.282542291138597,185.5,11.74970448800971,22.662286635632242,2288.0,36.563491202138906,0.0,0.0,0.0,0.0,0.0,0.0,27.40458826141669,2473.5,44.214753696525825,27.40458826141669,2473.5,44.214753696525825,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,100.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,4.537728065893768,188.4,7.321202087089251,35.717441142637554,2284.2,57.62676847129678,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,4.537728065893768,188.4,7.321202087089251,35.717441142637554,2284.2,57.62676847129678,0.0,0.0,0.0,0.0,0.0,0.0,36.064,2472.6,58.18590894709818,36.064,2472.6,58.18590894709818,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.1,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.985649398408059,184.2,14.49750936463839,22.971798323645068,2288.1,37.06285951671236,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,8.985649398408059,184.2,14.49750936463839,22.971798323645068,2288.1,37.06285951671236,0.0,0.0,0.0,0.0,0.0,0.0,26.461290503509293,2472.3,42.69283051962915,26.461290503509293,2472.3,42.69283051962915,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,10.0,1e-06,True,2.0
45.0,True,0.0,0.0,0.0,100.0,grain_cache,0.02,8.762707749954412,188.9,14.137813755237328,25.998726669674504,2283.2,41.94652680629364,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,25,0.3,10.0,8.762707749954412,188.9,14.137813755237328,25.998726669674504,2283.2,41.94652680629364,0.0,0.0,0.0,0.0,0.0,0.0,28.814073999426814,2472.1,46.488827809605084,28.814073999426814,2472.1,46.488827809605084,0.0,0.0,0.0,0.0,0.0,0.0,True,0.5,0.1,1e-06,True,2.0
