rng_seed,grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,sticking_temp_model,initial_h_count,initial_h_coverage,uv_flux_factor,uv_mode,uv_stimulated_diffusion_factor,enable_LH,enable_diffusion,use_3d_lattice,porosity_fraction,chemisorption_fraction,surface_defect_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,E_chem_mean_eV,heterogeneity_E_chem_sigma_eV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,er_cross_section_cm2,er_reaction_probability,diffusion_mode,lh_formation_mode,lh_exclude_chemisorption,enable_chemisorption_diffusion,enable_h2_blocking,E_h2_bind_eV,h2_desorption_prefactor_s,h2_stick_transition_K,h2_stick_prob_lowT,sticking_blocking_strength,er_blocking_strength,beam_dissociation_fraction,h2_beam_stick_probability,enable_grain_cache,grain_cache_dir,lh_diffusion_factor,diffusion_rate_cap_s,arrival_rate_per_site_s,arrival_rate_mode,final_time_mean,final_time_std,final_time_ci95,final_h_atoms_on_surface_mean,final_h_atoms_on_surface_std,final_h_atoms_on_surface_ci95,final_h_surface_coverage_mean,final_h_surface_coverage_std,final_h_surface_coverage_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_LH_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_ER_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_formed_UV_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_formed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_desorbed_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_ER_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_beam_ci95,total_h2_released_formed_mean,total_h2_released_formed_std,total_h2_released_formed_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_beam_ci95,h2_on_surface_mean,h2_on_surface_std,h2_on_surface_ci95,epsilon_mean,epsilon_std,epsilon_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,impinging_h_atoms_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h2_molecules_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_cm2_s_ci95,epsilon_baseline,rate_baseline,epsilon_ratio_to_baseline,rate_ratio_to_baseline
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,50.0,9.060324352379644e-08,gas_kinetic,283568370.91938674,1763790.171973972,546604.2372896678,8.825,5.583342900872017,1.7302958913997546,0.0090698869475847,0.0057382763626639,0.0017783102686533,2723.2,27.99926738968315,8.67706286121265,57.65,6.415326200312052,1.9881301871420896,0.0,0.0,0.0,2780.85,27.031368293056712,8.377107823537875,2780.85,27.031368293056712,8.377107823537875,2723.2,27.99926738968315,8.67706286121265,57.65,6.415326200312052,1.9881301871420896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.278085,0.0027031368293056,0.0008377107823537,20000.0,0.0,0.0,0.0,0.0,0.0,4031652.6649292577,46310.180115412615,14351.673505699631,0.2845075,4122804.287906646,0.9774259026563448,0.9778908682993366
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,200.0,9.060324352379644e-08,gas_kinetic,283204043.568751,1768371.9068814889,548024.1316480676,8.9,5.04746699612024,1.5642262279822865,0.0091469681397738,0.0051875303146148,0.0016076323000845,2779.65,30.72754548092072,9.522565001360096,54.15,7.940645197579738,2.4608314417317136,0.0,0.0,0.0,2833.8,28.970542067629797,8.978064002376527,2833.8,28.970542067629797,8.978064002376527,2779.65,30.72754548092072,9.522565001360096,54.15,7.940645197579738,2.4608314417317136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28338,0.0028970542067629,0.0008978064002376,20000.0,0.0,0.0,0.0,0.0,0.0,4113657.055498679,44752.34866290642,13868.896536843971,0.2845075,4122804.287906646,0.9960370113265907,0.9977813081171963
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,500.0,9.060324352379644e-08,gas_kinetic,283725483.4798977,2120938.7986483127,657285.743391892,8.625,5.333433492649254,1.6528481634082577,0.0088643371017471,0.0054814321609961,0.0016987134259077,2823.125,29.38706108093082,9.107144581914651,53.15,7.888810641239485,2.4447677462968405,0.0,0.0,0.0,2876.275,30.69952601321228,9.513881678355244,2876.275,30.69952601321228,9.513881678355244,2823.125,29.38706108093082,9.107144581914651,53.15,7.888810641239485,2.4447677462968405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2876275,0.0030699526013212,0.0009513881678355,20000.0,0.0,0.0,0.0,0.0,0.0,4167737.253470895,52456.17056335663,16256.335678427513,0.2845075,4122804.287906646,1.0109663189898332,1.0108986414164869
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.5,50.0,9.060324352379644e-08,gas_kinetic,283473557.92244804,1642889.0347166094,509136.5866767528,7.4,4.97583906079913,1.542028500850713,0.0076053442959917,0.0051139147593002,0.0015848186031353,2738.25,34.175077138697105,10.59096613108283,57.1,7.451724976688627,2.309313495503116,0.0,0.0,0.0,2795.35,35.49759832973897,11.000819694400864,2795.35,35.49759832973897,11.000819694400864,2738.25,34.175077138697105,10.59096613108283,57.1,7.451724976688627,2.309313495503116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.279535,0.0035497598329739,0.00110008196944,20000.0,0.0,0.0,0.0,0.0,0.0,4053982.082141255,54404.73879356721,16860.203229230967,0.2845075,4122804.287906646,0.982522429109953,0.983306943294091
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.5,200.0,9.060324352379644e-08,gas_kinetic,283707176.0670698,2104129.967844918,652076.6327578658,8.125,4.9156343983723545,1.5233708826657564,0.0083504624871531,0.0050520394638975,0.0015656432504272,2792.875,31.62860398031487,9.801805923347716,52.2,6.936340570705889,2.1495942133461563,0.0,0.0,0.0,2845.075,32.71899589394045,10.139721878297784,2845.075,32.71899589394045,10.139721878297784,2792.875,31.62860398031487,9.801805923347716,52.2,6.936340570705889,2.1495942133461563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2845075,0.003271899589394,0.0010139721878297,20000.0,0.0,0.0,0.0,0.0,0.0,4122804.287906646,55576.04347931944,17223.19431204944,0.2845075,4122804.287906646,1.0,1.0
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.5,500.0,9.060324352379644e-08,gas_kinetic,283607958.698908,1660084.859010649,514465.62783604854,6.55,3.822671907556351,1.1846582975910318,0.0067317574511819,0.0039287481064299,0.0012175316522004,2846.925,23.31433750577814,7.225188048302502,51.575,5.891704293935626,1.8258580771650128,0.0,0.0,0.0,2898.5,22.51609111223258,6.97780892801583,2898.5,22.51609111223258,6.97780892801583,2846.925,23.31433750577814,7.225188048302502,51.575,5.891704293935626,1.8258580771650128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28985,0.0022516091112232,0.0006977808928015,20000.0,0.0,0.0,0.0,0.0,0.0,4201630.818806742,42233.70884253408,13088.361969922522,0.2845075,4122804.287906646,1.0187780638471744,1.0191196393026265
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.8,50.0,9.060324352379644e-08,gas_kinetic,283563366.8573214,1826445.9343389273,566021.4592152045,8.125,6.202511898106593,1.9221783516064828,0.0083504624871531,0.0063746268223089,0.0019755173192255,2748.475,30.42939494835671,9.430167194047636,54.9,7.662094511795864,2.374507689865579,0.0,0.0,0.0,2803.375,33.746177371362926,10.458048716118984,2803.375,33.746177371362926,10.458048716118984,2748.475,30.42939494835671,9.430167194047636,54.9,7.662094511795864,2.374507689865579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2803375,0.0033746177371362,0.0010458048716118,20000.0,0.0,0.0,0.0,0.0,0.0,4064420.946762115,57443.35893501487,17801.881367152655,0.2845075,4122804.287906646,0.9853430928885881,0.985838924899786
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.8,200.0,9.060324352379644e-08,gas_kinetic,283510757.2142596,1484766.079014217,460133.7750197608,7.1,3.8350609262034294,1.1884976942471404,0.0072970195272353,0.0039414809107948,0.0012214775891543,2821.975,33.5677558196736,10.402755304393011,51.675,5.928581358392321,1.837286397841204,0.0,0.0,0.0,2873.65,34.28055440415762,10.623653874304528,2873.65,34.28055440415762,10.623653874304528,2821.975,33.5677558196736,10.402755304393011,51.675,5.928581358392321,1.837286397841204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.287365,0.0034280554404157,0.0010623653874304,20000.0,0.0,0.0,0.0,0.0,0.0,4166902.830669256,46335.83134429532,14359.622903888696,0.2845075,4122804.287906646,1.0100436719594386,1.0106962493688978
6100,0.005,25,20.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.8,500.0,9.060324352379644e-08,gas_kinetic,283639076.78062207,1655825.3793800003,513145.6014226142,6.525,3.426798610649409,1.0619758918505613,0.0067060637204522,0.0035218896306777,0.0010914449042657,2863.275,37.307445809389215,11.561697239215444,50.8,6.373824677981112,1.9752687321229392,0.0,0.0,0.0,2914.075,37.70899878999162,11.68613979716888,2914.075,37.70899878999162,11.68613979716888,2863.275,37.307445809389215,11.561697239215444,50.8,6.373824677981112,1.9752687321229392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2914075,0.0037708998789991,0.0011686139797168,20000.0,0.0,0.0,0.0,0.0,0.0,4223802.866430641,65021.341862455,20150.322606969625,0.2845075,4122804.287906646,1.0242524362275158,1.024497543776272
6100,0.005,25,50.0,100.0,1000.0,0.5,constant,0,0.0,0.0,continuous,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,False,0.5,1e-06,1.1e-15,0.9,rate_only,diffusion_limited,False,False,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,True,grain_cache,0.3,50.0,9.060324352379644e-08,gas_kinetic,283310429.51128066,1928045.9738988737,597507.6376817233,9.075,5.53027796398828,1.7138508970840771,0.0093268242548818,0.0056837389146847,0.0017614089384214,2700.7,35.03273194731332,10.856756109942287,59.4,7.695486522664622,2.3848559812454195,0.0,0.0,0.0,2760.1,34.520748127496475,10.698090680356389,2760.1,34.520748127496475,10.698090680356389,2700.7,35.03273194731332,10.856756109942287,59.4,7.695486522664622,2.3848559812454195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27601,0.0034520748127496,0.0010698090680356,20000.0,0.0,0.0,0.0,0.0,0.0,4005203.687132052,54057.576663718995,16752.61657055877,0.2758174999999999,4000297.2792857634,1.00069792525855,1.001226510807508
