h2_uv0,h2_uv100,h_gas_density_cm3,percent_drop,ratio_uv100_over_uv0,surface_temperature_k
2099.0,271.5,10.0,87.065269175798,0.12934730824202,10.0
2451.7,1930.8,100.0,21.246482032875146,0.7875351796712485,10.0
2482.5,2468.5,1000.0,0.5639476334340365,0.9943605236656596,10.0
2482.5,2473.5,10000.0,0.3625377643504568,0.9963746223564954,10.0
2520.2,2507.4,100000.0,0.5078961987143749,0.9949210380128563,10.0
2084.6,268.0,10.0,87.1438165595318,0.12856183440468197,20.0
2437.3,1938.8,100.0,20.452960242891727,0.7954703975710827,20.0
2498.5,2447.5,1000.0,2.0412247348409074,0.9795877526515909,20.0
2507.7,2479.9,10000.0,1.108585556486008,0.9889141444351399,20.0
2457.9,2462.6,100000.0,-0.1912201472801911,1.001912201472802,20.0
732.4,154.5,10.0,78.90496996176952,0.21095030038230475,50.0
757.2,653.3,100.0,13.721605916534607,0.8627839408346539,50.0
750.6,736.7,1000.0,1.851851851851849,0.9814814814814815,50.0
751.6,754.9,10000.0,-0.43906333155934174,1.0043906333155934,50.0
769.5,739.6,100000.0,3.8856400259908996,0.961143599740091,50.0
969.5,73.0,10.0,92.4703455389376,0.07529654461062403,100.0
944.1,729.7,100.0,22.709458743777144,0.7729054125622286,100.0
936.7,939.0,1000.0,-0.24554286324329766,1.002455428632433,100.0
953.0,947.2,10000.0,0.6086044071353602,0.9939139559286464,100.0
954.2,949.1,100000.0,0.5344791448333663,0.9946552085516663,100.0
911.5,40.8,10.0,95.52386176631926,0.04476138233680746,150.0
895.5,630.5,100.0,29.592406476828593,0.7040759352317141,150.0
896.8,879.0,1000.0,1.984834968777871,0.9801516503122213,150.0
901.5,886.4,10000.0,1.6749861342207462,0.9832501386577925,150.0
888.0,893.5,100000.0,-0.6193693693693714,1.0061936936936937,150.0
