uv_flux_factor,n_conditions,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_median,total_h2_formed_mean,total_h2_formed_median,epsilon_mean,epsilon_median,er_frac_mean,lh_frac_mean
0.0,60,7055283.789911923,505077.11349931086,2277.349166666667,2329.55,0.22447574999999997,0.23295499999999997,0.32787206177942996,0.6721279382205699
1.0,60,7065436.8656151695,497385.65514426265,2276.9875,2339.475,0.22445724999999997,0.2339475,0.3284690847007285,0.6715309152992716
10.0,60,7064167.593305742,503065.77991996903,2216.5175,2331.375,0.21839766666666666,0.2331375,0.3132349883695181,0.686765011630482
100.0,60,7042338.217641601,491933.22484230925,1946.1158333333333,2078.325,0.19140699999999997,0.20783249999999998,0.2668259297686546,0.7331740702313455
