surface_temperature_k,k_eff_min,k_eff_median,k_eff_max,n
100.0,8.086096886662205e-18,1.3861633394032325e-17,1.9903237864436568e-17,9
150.0,2.501683832208833e-18,8.163616109256595e-18,1.746135738088163e-17,9
200.0,2.494729907633853e-18,8.07297487123602e-18,1.747716199102143e-17,9
250.0,2.4942572674488228e-18,8.07297533790407e-18,1.7477162630012725e-17,9
