tau,eps20_isothermal_released_total_mean,eps20_isothermal_released_total_ci95,eps200_isothermal_mean,eps200_isothermal_ci95,iso_temp_k,iso_replicates,iso_burnin_arrivals,iso_measure_arrivals,iso_use_exposure_stops,lowT_temp_k,lowT_replicates,lowT_burnin_arrivals,lowT_measure_arrivals,lowT_fast_diffusion
0.5,0.3111037506898959,0.03282203620828151,0.1889420983892033,0.009616054955326903,200.0,3,2000,5000,True,20.0,3,500,1500,True
0.9,0.29726468451475796,0.011407244319811022,0.19257001886518646,0.00942915267169687,200.0,3,2000,5000,True,20.0,3,500,1500,True
