n_runs,epsilon_mean,epsilon_sem
10,0.24891000000000002,0.000832059025684008
20,0.24903499999999995,0.0005004353367976622
50,0.249842,0.0004213204703969539
100,0.2502209999999999,0.00029997742339291913
200,0.25034349999999994,0.00022288489660737086
500,0.2501885999999999,0.00013889407189082197
1000,0.2502125000000003,9.807554518106215e-05
