grain_radius_um,site_area_angstroms_sq,estimated_surface_sites,reference_radius_um,plateau_burnin_arrivals,plateau_measure_arrivals,ded_burnin_arrivals,plateau_T_k,plateau_epsilon_mean,plateau_epsilon_ci95,ded_start_k,ded_end_k,ded_eps10,ded_eps20,ded_eps30_80,ded_ratio10_over_20
0.003,25.0,452.38934211693027,0.005,720,1800,720,150.0,0.19333333333333333,0.023955555555555546,10.0,40.0,0.04489022936101564,0.12823539189456887,0.32501185668034005,0.3500611547077657
0.005,25.0,1256.6370614359178,0.005,2000,5000,2000,150.0,0.175,0.005096000000000009,10.0,40.0,0.014835381763251854,0.13176950418059555,0.32345109005325845,0.11258585099416744
0.01,25.0,5026.548245743671,0.005,8000,20000,8000,150.0,0.19,0.0013720000000000119,10.0,40.0,0.0375493923897845,0.11902611725384986,0.3261268270629186,0.3154718750482468
