rng_seed,grain_radius_um,site_area_angstroms_sq,surface_temperature_k,gas_temperature_k,h_gas_density_cm3,sticking_probability,sticking_temp_model,initial_h_count,initial_h_coverage,uv_flux_factor,uv_stimulated_diffusion_factor,enable_LH,enable_diffusion,use_3d_lattice,porosity_fraction,chemisorption_fraction,surface_defect_fraction,E_phys_mean_meV,heterogeneity_E_bind_sigma_meV,E_chem_mean_eV,heterogeneity_E_chem_sigma_eV,uv_pulse_enabled,uv_defect_creation_rate,uv_pulse_duration,er_cross_section_cm2,er_reaction_probability,enable_h2_blocking,E_h2_bind_eV,h2_desorption_prefactor_s,h2_stick_transition_K,h2_stick_prob_lowT,sticking_blocking_strength,er_blocking_strength,beam_dissociation_fraction,h2_beam_stick_probability,diffusion_mode,diffusion_rate_cap_s,enable_chemisorption_diffusion,lh_exclude_chemisorption,lh_formation_mode,enable_grain_cache,grain_cache_dir,gas_flux_h_cm2_s,arrival_rate_per_site_s,final_time_mean,final_time_std,final_time_ci95,final_h_atoms_on_surface_mean,final_h_atoms_on_surface_std,final_h_atoms_on_surface_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_LH_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_ER_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_formed_UV_ci95,total_h2_formed_mean,total_h2_formed_std,total_h2_formed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_desorbed_ci95,total_h2_desorbed_LH_mean,total_h2_desorbed_LH_std,total_h2_desorbed_LH_ci95,total_h2_desorbed_ER_mean,total_h2_desorbed_ER_std,total_h2_desorbed_ER_ci95,total_h2_desorbed_UV_mean,total_h2_desorbed_UV_std,total_h2_desorbed_UV_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_beam_ci95,total_h2_released_formed_mean,total_h2_released_formed_std,total_h2_released_formed_ci95,total_h2_released_beam_mean,total_h2_released_beam_std,total_h2_released_beam_ci95,total_h2_released_formed_gas_mean,total_h2_released_formed_gas_std,total_h2_released_formed_gas_ci95,total_h2_released_total_gas_mean,total_h2_released_total_gas_std,total_h2_released_total_gas_ci95,h2_on_surface_mean,h2_on_surface_std,h2_on_surface_ci95,epsilon_mean,epsilon_std,epsilon_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,impinging_h_atoms_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h2_molecules_ci95,adsorption_rate_s_mean,adsorption_rate_s_std,adsorption_rate_s_ci95,adsorption_rate_cm2_s_mean,adsorption_rate_cm2_s_std,adsorption_rate_cm2_s_ci95,h2_release_rate_s_mean,h2_release_rate_s_std,h2_release_rate_s_ci95,h2_release_rate_cm2_s_mean,h2_release_rate_cm2_s_std,h2_release_rate_cm2_s_ci95
1234,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,6824104807.51893,79483175.41951583,69670075.05578648,2.8,1.7888543819998317,1.5679999999999998,828.0,14.300349646075091,12.534809132970473,3.8,2.4899799195977463,2.1825636302293683,0.0,0.0,0.0,831.8,14.839137441239636,13.007077458061053,456.0,20.12461179749811,17.639999999999997,453.6,19.39845354661036,17.003494229128318,2.4,2.073644135332772,1.8176292251171577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,456.0,20.12461179749811,17.639999999999997,456.0,20.12461179749811,17.639999999999997,475.0,10.344080432788601,9.066986268876777,0.1824,0.008049844718999246,0.007056000000000002,5000.0,0.0,0.0,0.0,0.0,0.0,2.547916551856231e-07,6.4488447050083665e-09,5.652661613601408e-09,81102.70276271529,2052.7310240681554,1799.2980748609477,6.685123393205371e-08,3.572473140389017e-09,3.13141077356318e-09,21279.408664157978,1137.153518711877,996.7590069275917
1234,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,6804577284.30711,41227332.58245216,36137350.328659154,3.2,1.4832396974191326,1.3001169178193166,837.8,27.179036038829633,23.82347548112995,4.6,1.1401754250991378,0.9994078246641855,0.0,0.0,0.0,842.4,27.355072655725117,23.977778379157645,473.8,35.80782037488459,31.386938429862827,471.0,36.207733980463345,31.73747816068567,2.8,1.3038404810405297,1.1428665713896788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.8,35.80782037488459,31.386938429862827,473.8,35.80782037488459,31.386938429862827,467.4,3.0495901363953815,2.673083612609228,0.18952000000000002,0.01432312814995384,0.012554775371945133,5000.0,0.0,0.0,0.0,0.0,0.0,2.562825518806662e-07,8.182540288858627e-09,7.1723127952913125e-09,81577.26992002626,2604.583468040873,2283.018069543725,6.963493443962083e-08,5.347246993016036e-09,4.687068645395158e-09,22165.488055891423,1702.0815817435519,1491.9402870513472
1234,0.005,25,10.0,100.0,10.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,6766436912.449283,49973764.990569875,43803936.35932124,2.2,1.6431676725154984,1.4402999687565088,838.0,23.73815494093844,20.807410218477454,1.6,1.5165750888103102,1.3293366766925525,0.0,0.0,0.0,839.6,23.522329816580672,20.618231155945463,474.6,21.524404753674375,18.86697262413872,473.8,21.288494545176274,18.660188209125867,0.8,0.8366600265340756,0.7333648478076925,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.44721359549995804,0.392,0.0,0.0,0.0,474.8,21.2179169571379,18.598324225585483,474.8,21.2179169571379,18.598324225585483,465.0,11.247221879201993,9.858624650528084,0.18983999999999995,0.008609761901469755,0.007546789049655494,5000.0,0.0,0.0,0.0,0.0,0.0,2.575697892631e-07,7.2070373178863265e-09,6.317246740795262e-09,81987.01030472029,2294.071228378736,2010.842091057469,7.017357038954434e-08,3.2068583177922378e-09,2.810935251575274e-09,22336.941203806073,1020.7747061439914,894.748479998932
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,684842317.3924967,14584957.45250854,12784278.874598492,2.6,1.5165750888103102,1.3293366766925525,833.2,16.161683080669537,14.166339823680637,1.8,0.8366600265340756,0.7333648478076925,0.0,0.0,0.0,835.0,16.55294535724685,14.50929633028425,462.6,12.700393694685216,11.132385907791734,462.0,12.103718436910205,10.609376984535896,0.6,0.8944271909999159,0.7839999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.6,12.700393694685216,11.132385907791734,462.6,12.700393694685216,11.132385907791734,474.2,13.718600511714014,12.024883533739526,0.18504,0.005080157477874082,0.00445295436311669,5000.0,0.0,0.0,0.0,0.0,0.0,2.4821642785455285e-06,8.434031289181782e-08,7.392754376492494e-08,790097.4289932979,26846.35539729985,23531.868041660488,6.760129269111223e-07,3.221737086251805e-08,2.8239770671525265e-08,215181.59782385043,10255.107652389092,8988.998188309553
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,680395180.6066717,9549551.416428452,8370550.87973126,3.6,2.701851217221259,2.368277010824536,827.8,22.64287967551831,19.84735911903647,3.8,2.16794833886788,1.9002905041072007,0.0,0.0,0.0,831.6,22.423202269078338,19.654803382379583,454.2,23.03692687838376,20.19275672116118,452.2,21.787611158637837,19.097683210274486,2.0,2.345207879911715,2.055665342413497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.2,23.03692687838376,20.19275672116118,454.2,23.03692687838376,20.19275672116118,483.4,4.8270073544588685,4.23105849640489,0.18168,0.009214770751353504,0.008077102688464472,5000.0,0.0,0.0,0.0,0.0,0.0,2.4910415567428097e-06,9.680681106198291e-08,8.485491120607238e-08,792923.1544058962,30814.565010955463,27010.157128140523,6.678715451149871e-07,3.993484005776082e-08,3.500443067957605e-08,212590.1155109438,12711.654393553728,11142.25634554424
1234,0.005,25,10.0,100.0,100.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,3624129.740951857,9.060324352379643e-09,683145343.2010695,3279348.763477041,2874475.9287693007,4.2,2.387467277262665,2.0927073373981373,841.6,16.14930339054908,14.155488546849945,2.4,2.073644135332772,1.8176292251171577,0.0,0.0,0.0,844.0,16.59819267269783,14.548957350958176,467.4,19.385561637466168,16.9921939725275,466.2,19.485892332659542,17.080137704362922,1.2,1.3038404810405297,1.1428665713896788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.4,19.385561637466168,16.9921939725275,467.4,19.385561637466168,16.9921939725275,473.0,16.015617378046965,14.038307590304465,0.18696,0.007754224654986467,0.006796877589011,5000.0,0.0,0.0,0.0,0.0,0.0,2.524160148132147e-06,3.8858237639192564e-08,3.40607470520536e-08,803465.1294616036,12368.961200234095,10841.872517474081,6.842139830093427e-07,2.895671054116188e-08,2.538167588453049e-08,217792.07505706185,9217.207236614227,8079.238361958782
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,67895671.8031364,756864.4926798303,663420.9785120931,3.6,2.4083189157584592,2.1109846043967258,837.6,15.993748778819805,14.019138917922168,3.2,2.3874672772626644,2.092707337398137,0.0,0.0,0.0,840.8,16.48332490731163,14.448271315281977,462.4,16.80178561939177,14.727414437028653,461.8,16.208022704821214,14.206958295145373,0.6,0.8944271909999159,0.7839999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,462.4,16.80178561939177,14.727414437028653,462.4,16.80178561939177,14.727414437028653,488.4,10.714476188783099,9.391652463757376,0.18495999999999999,0.006720714247756708,0.005890965774811462,5000.0,0.0,0.0,0.0,0.0,0.0,2.5031393754990166e-05,5.132108968471644e-07,4.4984918524040566e-07,7967740.097172566,163360.10216370184,143191.44295374432,6.810846503680268e-06,2.481335307308327e-07,2.174986293467806e-07,2167959.7754017334,78983.35592531349,69231.9639525042
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,1.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,67309197.43533072,763021.7530699603,668818.0552047921,2.8,2.3874672772626644,2.092707337398137,828.6,21.743964679883014,19.059425384832565,3.8,2.588435821108957,2.2688640329468837,0.0,0.0,0.0,832.4,19.95745474753732,17.493480385560783,459.4,29.10841802640604,25.514653358413472,457.2,30.01999333777408,26.313684348642628,2.2,1.6431676725154984,1.4402999687565088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459.4,29.10841802640604,25.514653358413472,459.4,29.10841802640604,25.514653358413472,481.8,12.814054783713077,11.232014245005212,0.18375999999999998,0.01164336721056241,0.010205861343365383,5000.0,0.0,0.0,0.0,0.0,0.0,2.492746811925505e-05,6.31947723992701e-07,5.539266030769899e-07,7934659.539890143,201155.20809822207,176320.31397961036,6.8256265598552405e-06,4.345007087826943e-07,3.8085666347509814e-07,2172664.4134005792,138305.87115939573,121230.4412030967
1234,0.005,25,10.0,100.0,1000.0,0.5,constant,0,0.0,10.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,36241297.40951857,9.060324352379643e-08,68212622.52227512,880283.8482760907,771602.8135022563,2.4,1.5165750888103102,1.3293366766925525,833.4,6.2289646009589745,5.459928204656174,2.0,0.7071067811865476,0.6198064213930023,0.0,0.0,0.0,835.4,6.5038450166036395,5.700871512321602,455.8,21.34713095476767,18.711585288264597,454.0,21.540659228538015,18.881220299546317,1.8,0.8366600265340756,0.7333648478076925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455.8,21.34713095476767,18.711585288264597,455.8,21.34713095476767,18.711585288264597,482.6,16.54690303349844,14.503999999999998,0.18232,0.008538852381907063,0.007484634115305832,5000.0,0.0,0.0,0.0,0.0,0.0,2.4771298037094994e-05,2.1749610059443668e-07,1.906437377819548e-07,7884949.058812462,69231.15902563295,60683.78647502604,6.681978411505871e-06,2.988948088985701e-07,2.619928514410526e-07,2126939.7876489796,95141.17260142963,83394.91472316816
1234,0.005,25,20.0,100.0,10.0,0.5,constant,0,0.0,0.0,2.0,True,True,True,0.2,0.4,0.15,45.0,5.0,1.75,0.25,True,0.5,1e-06,1.1e-15,0.9,True,0.051,1000000000000.0,20.0,0.45,1.0,1.0,1.0,1.0,rate_only,200.0,False,False,diffusion_limited,True,grain_cache,362412.9740951857,9.060324352379643e-10,6813910151.753797,119091229.11140573,104388064.85630518,7.0,1.8708286933869707,1.639853652006788,701.6,14.842506526863984,13.010030591816452,14.0,3.4641016151377544,3.0364189434266144,0.0,0.0,0.0,715.6,15.274161188098022,13.38839258462344,715.6,15.274161188098022,13.38839258462344,701.6,14.842506526863984,13.010030591816452,14.0,3.4641016151377544,3.0364189434266144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.6,15.274161188098022,13.38839258462344,715.6,15.274161188098022,13.38839258462344,0.0,0.0,0.0,0.28624,0.006109664475239206,0.0053553570338493745,5000.0,0.0,0.0,0.0,0.0,0.0,3.6761582072158926e-07,8.560219921244497e-09,7.503363589330232e-09,117015.75005324984,2724.802628839546,2388.3948101152982,1.0506212615630013e-07,3.559611979485e-09,3.12013746898321e-09,33442.31341903894,1133.0596840483274,993.1706026298257
