arrival_rate_per_site_s,highT_T_k,highT_eps_mean,highT_eps_ci95,highT_replicates,ded_t_start_k,ded_t_end_k,ded_replicates,ded_eps10_mean,ded_eps10_ci95,ded_eps20_mean,ded_eps20_ci95,ded_eps30_80_mean,ded_eps30_80_ci95,ded_ratio10_over_20_mean,ded_ratio10_over_20_ci95,ded_theta10_mean,ded_theta20_mean,ded_theta30_80_mean
0.005,150.0,0.18616,0.0030232859975791075,,10.0,80.0,10,0.03732904986100896,0.006240121896799647,0.14918975000369042,0.010134036790200826,0.3242435639369006,0.002110168983141176,0.251167423248594,0.04167661778749995,0.2024510388064447,0.3868586552298064,0.0
0.01,150.0,0.18983999999999998,0.004015958968127562,,10.0,80.0,20,0.033001358644708136,0.0028995360169536085,0.11668340283048326,0.00439158043257125,0.3223675715294028,0.0011492619908731992,0.28491354076339837,0.026649020814013782,0.2341295372025448,0.5304249550425267,0.0
0.02,150.0,0.18964,0.0037598888942151063,,10.0,80.0,10,0.03345676243643611,0.002943512849948785,0.09024686558693204,0.0031475652249453117,0.32234131444243175,0.0012396596220843852,0.3718396493807469,0.035318116937502426,0.29164961733814576,0.6695424137898275,0.0
