temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
45.5,0.2890625,0.0,0.0,512.0,74.0,0.0,0.0,0.0,64.0,10.0,0.0,0.8648648648648649,0.13513513513513514,0.0
46.5,0.285140562248996,0.0,0.0,498.0,71.0,0.0,0.0,0.0,59.0,12.0,0.0,0.8309859154929577,0.16901408450704225,0.0
47.5,0.27139874739039666,0.0,0.0,479.0,65.0,0.0,0.0,0.0,53.0,12.0,0.0,0.8153846153846154,0.18461538461538463,0.0
48.5,0.3404255319148936,0.0,0.0,517.0,88.0,0.0,0.0,0.0,74.0,14.0,0.0,0.8409090909090909,0.1590909090909091,0.0
49.5,0.2697495183044316,0.0,0.0,519.0,70.0,0.0,0.0,0.0,58.0,12.0,0.0,0.8285714285714286,0.17142857142857143,0.0
50.5,0.32577319587628867,0.0,0.0,485.0,79.0,0.0,0.0,0.0,66.0,13.0,0.0,0.8354430379746836,0.16455696202531644,0.0
51.5,0.2891566265060241,0.0,0.0,498.0,72.0,0.0,0.0,0.0,61.0,11.0,0.0,0.8472222222222222,0.1527777777777778,0.0
52.5,0.22462203023758098,0.0,0.0,463.0,52.0,0.0,0.0,0.0,45.0,7.0,0.0,0.8653846153846154,0.1346153846153846,0.0
53.5,0.2694736842105263,0.0,0.0,475.0,64.0,0.0,0.0,0.0,48.0,16.0,0.0,0.75,0.25,0.0
54.5,0.2926829268292683,0.0,0.0,533.0,78.0,0.0,0.0,0.0,69.0,9.0,0.0,0.8846153846153846,0.11538461538461539,0.0
55.5,0.30601092896174864,0.0,0.0,549.0,84.0,0.0,0.0,0.0,72.0,12.0,0.0,0.8571428571428571,0.14285714285714285,0.0
56.5,0.3110236220472441,0.0,0.0,508.0,79.0,0.0,0.0,0.0,63.0,16.0,0.0,0.7974683544303798,0.20253164556962025,0.0
57.5,0.2929936305732484,0.0,0.0,471.0,69.0,0.0,0.0,0.0,55.0,14.0,0.0,0.7971014492753623,0.2028985507246377,0.0
58.5,0.2964352720450281,0.0,0.0,533.0,79.0,0.0,0.0,0.0,66.0,13.0,0.0,0.8354430379746836,0.16455696202531644,0.0
59.5,0.3292181069958848,0.0,0.0,486.0,80.0,0.0,0.0,0.0,67.0,13.0,0.0,0.8375,0.1625,0.0
