temperature_k,epsilon_mean,epsilon_std,epsilon_ci95,impinging_atoms_mean,h2_desorbed_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
44.5,0.3467202141900937,0.0,0.0,1494.0,259.0,0.0,0.0,0.0,200.0,59.0,0.0,0.7722007722007722,0.2277992277992278,0.0
45.5,0.3209710047201618,0.0,0.0,1483.0,238.0,0.0,0.0,0.0,183.0,55.0,0.0,0.7689075630252101,0.23109243697478993,0.0
46.5,0.32766825288919105,0.0,0.0,1471.0,241.0,0.0,0.0,0.0,189.0,52.0,0.0,0.7842323651452282,0.2157676348547718,0.0
47.5,0.31383344803854096,0.0,0.0,1453.0,228.0,0.0,0.0,0.0,183.0,45.0,0.0,0.8026315789473685,0.19736842105263158,0.0
48.5,0.3228882833787466,0.0,0.0,1468.0,237.0,0.0,0.0,0.0,178.0,59.0,0.0,0.7510548523206751,0.2489451476793249,0.0
49.5,0.3146374829001368,0.0,0.0,1462.0,230.0,0.0,0.0,0.0,181.0,49.0,0.0,0.7869565217391304,0.21304347826086956,0.0
50.5,0.3275017494751575,0.0,0.0,1429.0,234.0,0.0,0.0,0.0,179.0,55.0,0.0,0.7649572649572649,0.23504273504273504,0.0
51.5,0.3510204081632653,0.0,0.0,1470.0,258.0,0.0,0.0,0.0,202.0,56.0,0.0,0.7829457364341085,0.21705426356589147,0.0
52.5,0.30823363828289935,0.0,0.0,1421.0,219.0,0.0,0.0,0.0,160.0,59.0,0.0,0.730593607305936,0.2694063926940639,0.0
53.5,0.3308270676691729,0.0,0.0,1463.0,242.0,0.0,0.0,0.0,181.0,61.0,0.0,0.7479338842975206,0.25206611570247933,0.0
54.5,0.3366467859509609,0.0,0.0,1509.0,254.0,0.0,0.0,0.0,197.0,57.0,0.0,0.7755905511811023,0.22440944881889763,0.0
55.5,0.3207676490747087,0.0,0.0,1459.0,234.0,0.0,0.0,0.0,169.0,65.0,0.0,0.7222222222222222,0.2777777777777778,0.0
56.5,0.31041524846834584,0.0,0.0,1469.0,228.0,0.0,0.0,0.0,162.0,66.0,0.0,0.7105263157894737,0.2894736842105263,0.0
57.5,0.351813826146475,0.0,0.0,1461.0,257.0,0.0,0.0,0.0,203.0,54.0,0.0,0.7898832684824902,0.21011673151750973,0.0
58.5,0.31146454605699136,0.0,0.0,1509.0,235.0,0.0,0.0,0.0,179.0,56.0,0.0,0.7617021276595745,0.23829787234042554,0.0
59.5,0.32858112695179903,0.0,0.0,1473.0,242.0,0.0,0.0,0.0,177.0,65.0,0.0,0.731404958677686,0.26859504132231404,0.0
60.5,0.33013698630136984,0.0,0.0,1460.0,241.0,0.0,0.0,0.0,177.0,64.0,0.0,0.7344398340248963,0.26556016597510373,0.0
61.5,0.3076923076923077,0.0,0.0,1534.0,236.0,0.0,0.0,0.0,175.0,61.0,0.0,0.7415254237288136,0.2584745762711864,0.0
62.5,0.3044654939106901,0.0,0.0,1478.0,225.0,0.0,0.0,0.0,160.0,65.0,0.0,0.7111111111111111,0.28888888888888886,0.0
63.5,0.33266533066132264,0.0,0.0,1497.0,249.0,0.0,0.0,0.0,184.0,65.0,0.0,0.7389558232931727,0.26104417670682734,0.0
64.5,0.30155510480054093,0.0,0.0,1479.0,223.0,0.0,0.0,0.0,166.0,57.0,0.0,0.7443946188340808,0.2556053811659193,0.0
65.5,0.3256464011180992,0.0,0.0,1431.0,233.0,0.0,0.0,0.0,176.0,57.0,0.0,0.7553648068669528,0.2446351931330472,0.0
66.5,0.3326732673267327,0.0,0.0,1515.0,252.0,0.0,0.0,0.0,201.0,51.0,0.0,0.7976190476190477,0.20238095238095238,0.0
67.5,0.3293963254593176,0.0,0.0,1524.0,251.0,0.0,0.0,0.0,191.0,60.0,0.0,0.7609561752988048,0.23904382470119523,0.0
