temperature_k,epsilon_mean,epsilon_std,impinging_atoms_mean,h2_desorbed_mean
12.5,0.06374932468935711,0.0,3702.0,118.0
17.5,0.08564631245043616,0.0,3783.0,162.0
22.5,0.8321487151448879,0.0,3658.0,1522.0
27.5,0.5042108122792719,0.0,3681.0,928.0
