temperature_k,epsilon_prompt_mean,epsilon_prompt_std,epsilon_prompt_ci95,epsilon_released_total_mean,epsilon_released_total_std,epsilon_released_total_ci95,impinging_atoms_mean,h2_desorbed_mean,h2_released_total_mean,theta_h2_mean,theta_h2_std,theta_h2_ci95,h2_desorbed_LH_mean,h2_desorbed_ER_mean,h2_desorbed_UV_mean,frac_desorbed_LH,frac_desorbed_ER,frac_desorbed_UV
10.5,0.1723716487497056,0.015052998811654329,0.009329945324684586,0.1723716487497056,0.015052998811654329,0.009329945324684586,525.1,45.3,45.3,0.05914771772218558,0.0055306424068579125,0.003427927678198984,41.1,4.2,0.0,0.9072847682119205,0.09271523178807947,0.0
11.5,0.2046889339583439,0.022650867241813585,0.014039152966596464,0.2046889339583439,0.022650867241813585,0.014039152966596464,505.5,51.7,51.7,0.1911958184506936,0.008001690474236975,0.004959499137931295,46.9,4.8,0.0,0.90715667311412,0.09284332688588008,0.0
12.5,0.17255787387046326,0.032239025194578316,0.019981954835050428,0.17255787387046326,0.032239025194578316,0.019981954835050428,514.5,44.4,44.4,0.32281935589878497,0.008529348221304842,0.0052865447978617235,40.6,3.8,0.0,0.9144144144144144,0.08558558558558559,0.0
13.5,0.16418410682762627,0.023627795924187206,0.014644659637174639,0.16418410682762627,0.023627795924187206,0.014644659637174639,521.6,42.9,42.9,0.4467934607271545,0.01221924970111323,0.007573569429354505,38.6,4.3,0.0,0.8997668997668997,0.10023310023310024,0.0
14.5,0.11173999959702963,0.019941465419229948,0.012359848318825221,0.11173999959702963,0.019941465419229948,0.012359848318825221,506.9,28.4,28.4,0.5596119394057114,0.013505568704069378,0.008370838207346569,26.5,1.9,0.0,0.9330985915492958,0.06690140845070422,0.0
15.5,0.07345506415870057,0.019168780957735432,0.011880933527880326,0.0758425509265923,0.01913544754668233,0.01186027326566268,513.2,18.8,19.4,0.6645190392274951,0.013128643447289262,0.008137217512809046,17.1,1.7,0.0,0.9095744680851063,0.09042553191489362,0.0
16.5,0.039321028784653496,0.010439592205159325,0.006470526285482082,0.07662726032969214,0.013182450821989494,0.00817056766916655,510.3,10.0,19.5,0.7580683786412052,0.0153257955647729,0.009499026504002639,9.4,0.6,0.0,0.94,0.06,0.0
17.5,0.02974211108148449,0.009690620878016244,0.006006309047479562,0.2504617202164177,0.026930518772545323,0.016691708466668384,511.0,7.6,64.0,0.7599065478618041,0.019001737625458568,0.01177739899788424,6.3,1.3,0.0,0.8289473684210527,0.17105263157894737,0.0
18.5,0.07681161636746595,0.007121889921528578,0.004414193105817518,0.6807914923761548,0.05603327044188907,0.03472978083153356,495.7,19.0,168.3,0.4452930398419892,0.010968795283242107,0.006798529751498733,16.6,2.4,0.0,0.8736842105263158,0.12631578947368421,0.0
19.5,0.15561438542800393,0.01631558065759881,0.010112501660335204,0.5000526118668662,0.04321814237675614,0.026786882165790487,521.4,40.6,130.4,0.05679296504826155,0.003613327420174803,0.002239563537619754,34.7,5.9,0.0,0.854679802955665,0.14532019704433496,0.0
20.5,0.36688675969405743,0.02390716806496804,0.014817816283988908,0.38395501970871115,0.03038798946138651,0.01883467100139024,532.8,97.6,102.1,0.0006901117000017646,0.00022182404132421453,0.00013748796523209487,81.7,15.9,0.0,0.8370901639344263,0.16290983606557377,0.0
21.5,0.3492315898549925,0.027639167778605846,0.017130933671138465,0.3492315898549925,0.027639167778605846,0.017130933671138465,520.4,90.9,90.9,0.0,0.0,0.0,76.7,14.2,0.0,0.8437843784378438,0.1562156215621562,0.0
22.5,0.3246784167711504,0.036996583225594085,0.02293071985282385,0.3246784167711504,0.036996583225594085,0.02293071985282385,508.5,82.7,82.7,0.0,0.0,0.0,69.4,13.3,0.0,0.8391777509068924,0.1608222490931076,0.0
23.5,0.3237153323898367,0.03310965291797644,0.020521575488655353,0.3237153323898367,0.03310965291797644,0.020521575488655353,523.0,84.8,84.8,0.0,0.0,0.0,70.9,13.9,0.0,0.8360849056603774,0.16391509433962265,0.0
24.5,0.3110856073672631,0.038456130235765607,0.023835356462053117,0.3110856073672631,0.038456130235765607,0.023835356462053117,497.8,77.3,77.3,0.0,0.0,0.0,65.5,11.8,0.0,0.8473479948253557,0.15265200517464425,0.0
25.5,0.32259469509502764,0.02019169298198105,0.012514940969027872,0.32259469509502764,0.02019169298198105,0.012514940969027872,507.2,81.8,81.8,0.0,0.0,0.0,66.8,15.0,0.0,0.8166259168704156,0.18337408312958436,0.0
