grain_radius_um,site_area_angstroms_sq,estimated_surface_sites,plateau_T_k,plateau_epsilon_mean,plateau_epsilon_ci95,ded_start_k,ded_end_k,ded_eps10,ded_eps20,ded_eps30_80,ded_ratio10_over_20
0.003,25.0,452.38934211693027,150.0,0.2138,0.0035280000000000194,10.0,80.0,0.04661891010013877,0.13368034742659143,0.32056027213296256,0.3487342081134166
0.005,25.0,1256.6370614359178,150.0,0.175,0.005096000000000009,10.0,80.0,0.014835381763251854,0.13176950418059555,0.3195511627467686,0.11258585099416744
0.01,25.0,5026.548245743671,150.0,0.0984,0.006271999999999989,10.0,80.0,0.03224404560334124,0.1263891167996749,0.32094721760634115,0.25511726341475766
