E_chem_mean_eV,E_phys_mean_meV,arrival_rate_per_site_s,chemisorption_fraction,enable_LH,enable_diffusion,epsilon_ci95,epsilon_mean,epsilon_std,er_cross_section_cm2,er_reaction_probability,gas_temperature_k,grain_radius_um,h2_formed_ER_ci95,h2_formed_ER_mean,h2_formed_ER_std,h2_formed_LH_ci95,h2_formed_LH_mean,h2_formed_LH_std,h2_formed_UV_ci95,h2_formed_UV_mean,h2_formed_UV_std,h2_on_surface_ci95,h2_on_surface_mean,h2_on_surface_std,h_gas_density_cm3,heterogeneity_E_bind_sigma_meV,heterogeneity_E_chem_sigma_eV,impinging_h2_molecules_ci95,impinging_h2_molecules_mean,impinging_h2_molecules_std,impinging_h_atoms_ci95,impinging_h_atoms_mean,impinging_h_atoms_std,initial_h_coverage,max_arrivals,porosity_fraction,rng_seed,site_area_angstroms_sq,sticking_probability,sticking_temp_model,surface_defect_fraction,surface_temperature_k,total_h2_desorbed_beam_ci95,total_h2_desorbed_beam_mean,total_h2_desorbed_beam_std,total_h2_desorbed_ci95,total_h2_desorbed_mean,total_h2_desorbed_std,total_h2_formed_ci95,total_h2_formed_mean,total_h2_formed_std,use_3d_lattice,uv_defect_creation_rate,uv_flux_factor,uv_pulse_duration,uv_pulse_enabled,uv_stimulated_diffusion_factor
1.75,45.0,0.01,0.5,False,False,0.006106147145295468,0.15304,0.006966204131375996,1e-15,0.5,300.0,0.005,15.265367863238668,382.6,17.41551032843999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,5000,0.0,1000,25,0.5,constant,0.15,100,0.0,0.0,0.0,15.265367863238668,382.6,17.41551032843999,15.265367863238668,382.6,17.41551032843999,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.007257824687879966,0.1528,0.008280096617793775,1e-15,0.5,300.0,0.005,18.14456171969993,382.0,20.700241544484452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,5000,0.0,1000,25,0.5,constant,0.15,150,0.0,0.0,0.0,18.14456171969993,382.0,20.700241544484452,18.14456171969993,382.0,20.700241544484452,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.005922184677971471,0.14856000000000003,0.006756330364924445,1e-15,0.5,300.0,0.005,14.805461694928667,371.4,16.890825912311097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,5000,0.0,1000,25,0.5,constant,0.15,200,0.0,0.0,0.0,14.805461694928667,371.4,16.890825912311097,14.805461694928667,371.4,16.890825912311097,True,0.5,0.0,1e-06,False,2.0
1.75,45.0,0.01,0.5,False,False,0.0057952397569039395,0.14848,0.006611505123646206,1e-15,0.5,300.0,0.005,14.48809939225984,371.2,16.52876280911551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,5000,0.0,1000,25,0.5,constant,0.15,250,0.0,0.0,0.0,14.48809939225984,371.2,16.52876280911551,14.48809939225984,371.2,16.52876280911551,True,0.5,0.0,1e-06,False,2.0
