surface_temperature_k,epsilon_pairs,epsilon_diffusion_limited,epsilon_frac_diff,rate_pairs,rate_diffusion_limited,rate_frac_diff
20.0,0.38,0.2848833333333333,-0.25030701754385964,5497291.940645659,4131497.260602639,-0.24844863521703509
50.0,0.2977299999999999,0.2741933333333333,-0.07905372876991434,4323724.902668549,3975651.692334394,-0.08050308892670954
80.0,0.2969833333333332,0.2694966666666666,-0.09255289297940383,4305040.289597346,3897576.057553483,-0.09464818088426619
