_mrn_weight,grain_radius_um_mrn,h_gas_density_cm3,mrn_chunk_index,mrn_chunk_n_runs,mrn_size_index,output_filename,raw_runs_output,rng_seed,shard_id,surface_temperature_k,uv_flux_factor
0.0001170577044558377,0.060274377581823795,1000.0,0,5,7,results/anvil_mrn_r9/aggregated_chunk_0028.csv,results/anvil_mrn_r9/raw_chunk_0028.csv,6900,28,10.0,0.0
0.0001170577044558377,0.060274377581823795,1000.0,1,5,7,results/anvil_mrn_r9/aggregated_chunk_0029.csv,results/anvil_mrn_r9/raw_chunk_0029.csv,6905,29,10.0,0.0
0.0001170577044558377,0.060274377581823795,1000.0,2,5,7,results/anvil_mrn_r9/aggregated_chunk_0030.csv,results/anvil_mrn_r9/raw_chunk_0030.csv,6910,30,10.0,0.0
0.0001170577044558377,0.060274377581823795,1000.0,3,5,7,results/anvil_mrn_r9/aggregated_chunk_0031.csv,results/anvil_mrn_r9/raw_chunk_0031.csv,6915,31,10.0,0.0
3.371464865339389e-05,0.08601705174856362,1000.0,0,5,8,results/anvil_mrn_r9/aggregated_chunk_0032.csv,results/anvil_mrn_r9/raw_chunk_0032.csv,7000,32,10.0,0.0
3.371464865339389e-05,0.08601705174856362,1000.0,1,5,8,results/anvil_mrn_r9/aggregated_chunk_0033.csv,results/anvil_mrn_r9/raw_chunk_0033.csv,7005,33,10.0,0.0
3.371464865339389e-05,0.08601705174856362,1000.0,2,5,8,results/anvil_mrn_r9/aggregated_chunk_0034.csv,results/anvil_mrn_r9/raw_chunk_0034.csv,7010,34,10.0,0.0
3.371464865339389e-05,0.08601705174856362,1000.0,3,5,8,results/anvil_mrn_r9/aggregated_chunk_0035.csv,results/anvil_mrn_r9/raw_chunk_0035.csv,7015,35,10.0,0.0
9.710403421165916e-06,0.12275420316818464,1000.0,0,5,9,results/anvil_mrn_r9/aggregated_chunk_0036.csv,results/anvil_mrn_r9/raw_chunk_0036.csv,7100,36,10.0,0.0
9.710403421165916e-06,0.12275420316818464,1000.0,1,5,9,results/anvil_mrn_r9/aggregated_chunk_0037.csv,results/anvil_mrn_r9/raw_chunk_0037.csv,7105,37,10.0,0.0
