site_type,count,fraction,mean_E_bind_eV,mean_E_diff_eV,mean_Ediff_over_Ebind
Physisorption,438,0.4501541623843782,0.044901726649575716,0.013470517994872713,0.2999999999999999
Chemisorption,389,0.3997944501541624,1.7680939849379984,0.5304281954813995,0.3
Defect,146,0.1500513874614594,0.3483872144687975,0.10451616434063925,0.3
All,973,1.0,0.779362846583597,0.23380885397507914,0.3
