shard_id,config_path,surface_temperature_k,h_gas_density_cm3,uv_flux_factor,grain_radius_um_mrn,_mrn_weight,output_filename,raw_runs_output
74,anvil/generated_mrn_r8/config_shard_0074.yaml,70.0,1000.0,0.0,0.010182950707499475,0.059061820350263396,results/anvil_mrn_r8/aggregated_chunk_0074.csv,results/anvil_mrn_r8/raw_chunk_0074.csv
75,anvil/generated_mrn_r8/config_shard_0075.yaml,70.0,1000.0,0.0,0.014532002371505055,0.01701082838755172,results/anvil_mrn_r8/aggregated_chunk_0075.csv,results/anvil_mrn_r8/raw_chunk_0075.csv
76,anvil/generated_mrn_r8/config_shard_0076.yaml,70.0,1000.0,0.0,0.020738497022272807,0.0048994135418558,results/anvil_mrn_r8/aggregated_chunk_0076.csv,results/anvil_mrn_r8/raw_chunk_0076.csv
77,anvil/generated_mrn_r8/config_shard_0077.yaml,70.0,1000.0,0.0,0.029595732766060295,0.001411116055446539,results/anvil_mrn_r8/aggregated_chunk_0077.csv,results/anvil_mrn_r8/raw_chunk_0077.csv
78,anvil/generated_mrn_r8/config_shard_0078.yaml,70.0,1000.0,0.0,0.04223581858508571,0.0004064258925946388,results/anvil_mrn_r8/aggregated_chunk_0078.csv,results/anvil_mrn_r8/raw_chunk_0078.csv
79,anvil/generated_mrn_r8/config_shard_0079.yaml,70.0,1000.0,0.0,0.060274377581823795,0.00011705770445583771,results/anvil_mrn_r8/aggregated_chunk_0079.csv,results/anvil_mrn_r8/raw_chunk_0079.csv
80,anvil/generated_mrn_r8/config_shard_0080.yaml,70.0,1000.0,0.0,0.08601705174856362,3.37146486533939e-05,results/anvil_mrn_r8/aggregated_chunk_0080.csv,results/anvil_mrn_r8/raw_chunk_0080.csv
81,anvil/generated_mrn_r8/config_shard_0081.yaml,70.0,1000.0,0.0,0.12275420316818464,9.710403421165917e-06,results/anvil_mrn_r8/aggregated_chunk_0081.csv,results/anvil_mrn_r8/raw_chunk_0081.csv
82,anvil/generated_mrn_r8/config_shard_0082.yaml,70.0,1000.0,0.0,0.1751814795920109,2.7967645628215365e-06,results/anvil_mrn_r8/aggregated_chunk_0082.csv,results/anvil_mrn_r8/raw_chunk_0082.csv
83,anvil/generated_mrn_r8/config_shard_0083.yaml,70.0,1000.0,0.0,0.24999999999999994,8.055166897396689e-07,results/anvil_mrn_r8/aggregated_chunk_0083.csv,results/anvil_mrn_r8/raw_chunk_0083.csv
